gene,category,ensemblGeneId,classification
AC011446.3,1,ENSG00000287296,lncRNA
AC011447.2,2,ENSG00000267220,transcribed_unprocessed_pseudogene
AC011447.4,2,ENSG00000267771,unprocessed_pseudogene
AC011447.3,1,ENSG00000267383,lncRNA
AC011447.5,2,ENSG00000274612,processed_pseudogene
AC011447.6,1,ENSG00000279039,TEC
AC011447.7,1,ENSG00000280079,TEC
AC011450.1,1,ENSG00000197813,lncRNA
AC011448.1,1,ENSG00000258674,protein_coding
AC011451.1,1,ENSG00000267510,lncRNA
AC011451.2,1,ENSG00000270614,processed_pseudogene
AC011452.2,2,unidentified,unidentified
AC011451.3,1,ENSG00000283108,lncRNA
AC011452.3,2,unidentified,unidentified
AC011451.4,1,ENSG00000287275,lncRNA
AC011452.1,1,ENSG00000269179,protein_coding
AC011453.2,2,ENSG00000270347,unprocessed_pseudogene
AC011453.1,1,ENSG00000269842,lncRNA
AC011455.6,1,ENSG00000287271,lncRNA
AC011458.2,1,ENSG00000271283,processed_pseudogene
AC011455.2,2,ENSG00000269547,protein_coding
AC011455.1,1,ENSG00000269050,lncRNA
AC011460.1,2,ENSG00000283285,unprocessed_pseudogene
AC011461.1,1,ENSG00000267197,lncRNA
AC011458.1,1,ENSG00000270402,processed_pseudogene
AC011462.2,2,ENSG00000268475,lncRNA
AC011462.1,1,ENSG00000255730,protein_coding
AC011462.3,1,ENSG00000268987,lncRNA
AC011462.4,1,ENSG00000277744,lncRNA
AC011462.5,1,ENSG00000286177,lncRNA
AC011465.1,1,ENSG00000268764,lncRNA
AC011466.1,1,ENSG00000268583,lncRNA
AC011466.2,2,ENSG00000269321,lncRNA
AC011466.3,1,ENSG00000269534,lncRNA
AC011467.1,1,ENSG00000260599,lncRNA
AC011467.2,2,ENSG00000268589,unprocessed_pseudogene
AC011466.4,1,ENSG00000280353,TEC
AC011467.3,2,ENSG00000268823,lncRNA
AC011467.4,2,ENSG00000269025,transcribed_processed_pseudogene
AC011467.6,2,ENSG00000271149,unprocessed_pseudogene
AC011467.5,3,ENSG00000269316,processed_pseudogene
AC011468.4,1,ENSG00000270248,processed_pseudogene
AC011468.5,1,ENSG00000275055,lncRNA
AC011468.3,2,ENSG00000268458,lncRNA
AC011468.1,1,ENSG00000260160,lncRNA
AC011468.2,1,ENSG00000267827,lncRNA
AC011471.1,2,ENSG00000267415,transcribed_processed_pseudogene
AC011471.2,1,ENSG00000267563,lncRNA
AC011471.3,2,ENSG00000280394,TEC
AC011471.4,2,ENSG00000284490,unprocessed_pseudogene
AC011472.1,1,ENSG00000267082,lncRNA
AC011472.2,1,ENSG00000267174,lncRNA
AC011472.3,1,ENSG00000267576,lncRNA
AC011472.4,1,unidentified,unidentified
AC011473.2,2,ENSG00000268739,lncRNA
AC011473.3,2,ENSG00000268906,lncRNA
AC011473.4,2,ENSG00000269741,protein_coding
AC011474.1,2,ENSG00000264515,lncRNA
AC011472.5,1,ENSG00000279807,TEC
AC011474.3,2,ENSG00000267574,lncRNA
AC011473.1,2,ENSG00000268390,lncRNA
AC011474.4,2,ENSG00000279387,TEC
AC011474.2,2,ENSG00000266248,lncRNA
AC011476.2,1,ENSG00000267149,lncRNA
AC011475.1,1,ENSG00000271010,processed_pseudogene
AC011476.3,1,ENSG00000267265,lncRNA
AC011476.8,2,ENSG00000275012,processed_pseudogene
AC011477.1,1,ENSG00000267419,transcribed_unprocessed_pseudogene
AC011477.2,1,ENSG00000267481,lncRNA
AC011477.3,1,ENSG00000267565,lncRNA
AC011476.1,2,ENSG00000243494,processed_pseudogene
AC011477.4,2,ENSG00000267581,lncRNA
AC011477.7,2,ENSG00000275540,unprocessed_pseudogene
AC011477.8,2,ENSG00000286080,lncRNA
AC011478.1,2,ENSG00000267760,lncRNA
AC011477.5,1,ENSG00000267693,processed_pseudogene
