gene,category,ensemblGeneId,classification
A2M-AS1,1,ENSG00000245105,lncRNA
A1BG,0,ENSG00000121410,protein_coding
A1BG-AS1,1,ENSG00000268895,lncRNA
A2M,0,ENSG00000175899,protein_coding
A2ML1-AS1,2,ENSG00000256661,lncRNA
A1CF,1,ENSG00000148584,protein_coding
A2ML1-AS2,2,ENSG00000256904,lncRNA
A2MP1,1,ENSG00000256069,transcribed_unprocessed_pseudogene
A2ML1,1,ENSG00000166535,protein_coding
A3GALT2,2,ENSG00000184389,protein_coding
A4GALT,1,ENSG00000128274,protein_coding
A4GNT,1,ENSG00000118017,protein_coding
AACSP1,1,ENSG00000250420,transcribed_unprocessed_pseudogene
AADAC,1,ENSG00000114771,protein_coding
AADACL2,1,ENSG00000197953,protein_coding
AACS,0,ENSG00000081760,protein_coding
AADACL2-AS1,2,ENSG00000242908,lncRNA
AAAS,0,ENSG00000094914,protein_coding
AADACL4,2,ENSG00000204518,protein_coding
AADACP1,1,ENSG00000240602,transcribed_unprocessed_pseudogene
AADACL3,2,ENSG00000188984,protein_coding
AADAT,1,ENSG00000109576,protein_coding
AAGAB,0,ENSG00000103591,protein_coding
AAK1,0,ENSG00000115977,protein_coding
AAMDC,0,ENSG00000087884,protein_coding
AAMP,0,ENSG00000127837,protein_coding
AANAT,1,ENSG00000129673,protein_coding
AARD,1,ENSG00000205002,protein_coding
AARS1P1,3,ENSG00000249038,processed_pseudogene
AARS2,0,ENSG00000124608,protein_coding
AAR2,0,ENSG00000131043,protein_coding
AASDHPPT,0,ENSG00000149313,protein_coding
AASDH,1,ENSG00000157426,protein_coding
AARSD1,1,ENSG00000266967,protein_coding
AATBC,1,ENSG00000215458,lncRNA
ABALON,1,ENSG00000281376,lncRNA
AATK,1,ENSG00000181409,protein_coding
AARS1,0,ENSG00000090861,protein_coding
AATF,0,ENSG00000275700,protein_coding
ABBA01000933.1,2,unidentified,unidentified
AASS,0,ENSG00000008311,protein_coding
ABBA01031658.1,3,unidentified,unidentified
ABBA01010928.1,2,unidentified,unidentified
ABAT,0,ENSG00000183044,protein_coding
ABBA01006766.1,2,ENSG00000265233,processed_pseudogene
ABBA01031669.1,2,unidentified,unidentified
ABBA01000935.2,1,ENSG00000283544,unprocessed_pseudogene
ABCA11P,1,ENSG00000251595,transcribed_processed_pseudogene
ABBA01045074.2,1,ENSG00000287800,processed_pseudogene
ABBA01045074.1,1,ENSG00000286916,processed_pseudogene
ABCA1,0,ENSG00000165029,protein_coding
ABCA17P,1,ENSG00000238098,transcribed_unitary_pseudogene
ABCA10,1,ENSG00000154263,protein_coding
ABCA12,1,ENSG00000144452,protein_coding
ABCA13,1,ENSG00000179869,protein_coding
ABCA3,1,ENSG00000167972,protein_coding
ABCA6,1,ENSG00000154262,protein_coding
ABCA5,1,ENSG00000154265,protein_coding
ABCA4,1,ENSG00000198691,protein_coding
ABCA2,1,ENSG00000107331,protein_coding
ABCA9-AS1,1,ENSG00000231749,lncRNA
ABCA7,1,ENSG00000064687,protein_coding
ABCA8,0,ENSG00000141338,protein_coding
ABCA9,1,ENSG00000154258,protein_coding
ABCB10,0,ENSG00000135776,protein_coding
ABCB10P1,2,ENSG00000274099,processed_pseudogene
ABCB1,0,ENSG00000085563,protein_coding
ABCB10P3,1,ENSG00000261524,processed_pseudogene
ABCB10P4,2,ENSG00000260053,processed_pseudogene
ABCB11,1,ENSG00000073734,protein_coding
ABCB5,1,ENSG00000004846,protein_coding
ABCB6,0,ENSG00000115657,protein_coding
ABCB4,1,ENSG00000005471,protein_coding
ABCB7,0,ENSG00000131269,protein_coding
ABCC10,0,ENSG00000124574,protein_coding
ABCC1,0,ENSG00000103222,protein_coding
ABCB8,0,ENSG00000197150,protein_coding
ABCB9,1,ENSG00000150967,protein_coding
ABCC13,1,ENSG00000243064,transcribed_unprocessed_pseudogene
ABCC11,1,ENSG00000121270,protein_coding
ABCC2,1,ENSG00000023839,protein_coding
ABCC12,1,ENSG00000140798,protein_coding
ABCC3,0,ENSG00000108846,protein_coding
ABCC5-AS1,1,ENSG00000223882,lncRNA
ABCC4,1,ENSG00000125257,protein_coding
ABCC6P1,1,ENSG00000291057,lncRNA
ABCC5,1,ENSG00000114770,protein_coding
ABCC6P2,1,ENSG00000255277,transcribed_unprocessed_pseudogene
ABCC6,1,ENSG00000091262,protein_coding
ABCD1,0,ENSG00000101986,protein_coding
ABCD1P2,2,ENSG00000215151,unprocessed_pseudogene
ABCD1P3,2,ENSG00000261233,unprocessed_pseudogene
ABCD1P4,2,ENSG00000225293,unprocessed_pseudogene
ABCD1P5,2,ENSG00000214330,unprocessed_pseudogene
ABCD2,1,ENSG00000173208,protein_coding
ABCC9,1,ENSG00000069431,protein_coding
ABCD3,0,ENSG00000117528,protein_coding
ABCE1,0,ENSG00000164163,protein_coding
ABCF1,0,ENSG00000204574,protein_coding
ABCF2,1,ENSG00000033050,protein_coding
ABCF2P1,2,ENSG00000242159,processed_pseudogene
ABCD4,0,ENSG00000119688,protein_coding
ABCF2P2,2,ENSG00000228769,unprocessed_pseudogene
ABCG2,1,ENSG00000118777,protein_coding
ABCF3,0,ENSG00000161204,protein_coding
ABCG1,1,ENSG00000160179,protein_coding
ABCG4,1,ENSG00000172350,protein_coding
ABCG5,1,ENSG00000138075,protein_coding
ABHD10,0,ENSG00000144827,protein_coding
ABCG8,1,ENSG00000143921,protein_coding
ABHD11,0,ENSG00000106077,protein_coding
ABHD1,1,ENSG00000143994,protein_coding
ABHD11-AS1,1,ENSG00000225969,transcribed_unitary_pseudogene
ABHD13,0,ENSG00000139826,protein_coding
ABCC8,1,ENSG00000006071,protein_coding
ABHD14A,1,ENSG00000248487,protein_coding
ABHD12,0,ENSG00000100997,protein_coding
ABHD14B,0,ENSG00000114779,protein_coding
ABHD15-AS1,2,ENSG00000264031,lncRNA
ABHD12B,1,ENSG00000131969,protein_coding
ABHD15,1,ENSG00000168792,protein_coding
ABHD16B,2,ENSG00000183260,protein_coding
ABHD17A,0,ENSG00000129968,protein_coding
ABHD17AP1,1,ENSG00000198658,unprocessed_pseudogene
ABHD16A,0,ENSG00000204427,protein_coding
ABHD17AP3,1,ENSG00000250536,unprocessed_pseudogene
ABHD14A-ACY1,1,ENSG00000114786,protein_coding
ABHD17AP4,1,ENSG00000229107,processed_pseudogene
ABHD17AP5,1,ENSG00000263366,processed_pseudogene
ABHD17AP7,2,ENSG00000260864,unprocessed_pseudogene
ABHD17AP8,2,ENSG00000260540,unprocessed_pseudogene
ABHD17AP9,2,ENSG00000261536,unprocessed_pseudogene
ABHD17AP6,1,ENSG00000226981,unprocessed_pseudogene
ABHD17C,0,ENSG00000136379,protein_coding
ABHD17B,0,ENSG00000107362,protein_coding
ABHD18,1,ENSG00000164074,protein_coding
ABHD2,1,ENSG00000140526,protein_coding
ABHD3,0,ENSG00000158201,protein_coding
ABHD4,0,ENSG00000100439,protein_coding
ABHD8,1,ENSG00000127220,protein_coding
ABHD6,0,ENSG00000163686,protein_coding
ABI1P1,1,ENSG00000271484,unprocessed_pseudogene
ABHD5,0,ENSG00000011198,protein_coding
ABI3,0,ENSG00000108798,protein_coding
ABITRAM,0,ENSG00000119328,protein_coding
ABITRAMP1,2,ENSG00000251106,processed_pseudogene
ABI1,0,ENSG00000136754,protein_coding
ABI2,0,ENSG00000138443,protein_coding
ABL1,0,ENSG00000097007,protein_coding
ABI3BP,1,ENSG00000154175,protein_coding
ABL2,1,ENSG00000143322,protein_coding
ABLIM3,0,ENSG00000173210,protein_coding
ABLIM1,0,ENSG00000099204,protein_coding
ABLIM2,0,ENSG00000163995,protein_coding
ABO,1,ENSG00000175164,protein_coding
ABRA,1,ENSG00000174429,protein_coding
ABRACL,0,ENSG00000146386,protein_coding
ABRAXAS2,0,ENSG00000165660,protein_coding
ABT1,0,ENSG00000146109,protein_coding
ABRAXAS1,0,ENSG00000163322,protein_coding
ABT1P1,1,ENSG00000250496,processed_pseudogene
ABTB2,1,ENSG00000166016,protein_coding
AC000029.2,2,unidentified,unidentified
ABR,1,ENSG00000159842,protein_coding
ABTB1,1,ENSG00000114626,protein_coding
AC000032.1,1,ENSG00000260246,lncRNA
AC000036.1,1,ENSG00000225929,lncRNA
AC000050.3,2,unidentified,unidentified
AC000041.1,1,ENSG00000242156,unprocessed_pseudogene
AC000035.1,2,ENSG00000282816,lncRNA
AC000050.1,3,ENSG00000286508,lncRNA
AC000061.1,1,ENSG00000083622,lncRNA
AC000058.1,2,ENSG00000223665,lncRNA
AC000065.2,1,ENSG00000287932,lncRNA
AC000067.1,2,ENSG00000225007,lncRNA
AC000065.1,1,ENSG00000286742,lncRNA
AC000068.1,1,ENSG00000185065,lncRNA
AC000068.2,1,ENSG00000273212,lncRNA
AC000068.3,1,ENSG00000273300,lncRNA
AC000072.1,1,ENSG00000286367,lncRNA
AC000077.1,2,ENSG00000230485,processed_pseudogene
AC000078.1,1,ENSG00000232926,processed_pseudogene
AC000081.2,2,unidentified,unidentified
AC000081.1,1,ENSG00000230194,processed_pseudogene
AC000082.1,1,ENSG00000287652,lncRNA
AC000085.1,1,ENSG00000287146,lncRNA
AC000095.1,1,ENSG00000270393,processed_pseudogene
AC000093.1,1,ENSG00000284874,protein_coding
AC000095.2,2,ENSG00000283366,transcribed_unprocessed_pseudogene
AC000089.1,1,ENSG00000235776,processed_pseudogene
AC000095.3,1,ENSG00000286025,protein_coding
AC000111.2,2,ENSG00000237974,processed_pseudogene
AC000111.1,2,ENSG00000234001,processed_pseudogene
AC000113.1,2,ENSG00000287685,lncRNA
AC000114.1,2,unidentified,unidentified
AC000120.4,1,unidentified,unidentified
AC000120.1,2,ENSG00000243107,lncRNA
AC000120.3,1,ENSG00000285953,protein_coding
AC000123.2,1,ENSG00000279265,TEC
AC000123.3,1,ENSG00000280347,TEC
AC000120.2,1,ENSG00000285772,protein_coding
AC000124.1,1,ENSG00000226770,lncRNA
AC000123.1,1,ENSG00000224138,lncRNA
AC000362.1,2,ENSG00000230820,processed_pseudogene
AC000367.1,1,ENSG00000224981,processed_pseudogene
AC000372.1,2,ENSG00000241921,lncRNA
AC001226.1,1,ENSG00000274898,lncRNA
AC002044.1,2,ENSG00000272330,lncRNA
AC001226.2,1,ENSG00000283208,protein_coding
AC000374.1,1,ENSG00000227249,processed_pseudogene
AC000403.1,1,ENSG00000278727,lncRNA
AC002044.2,1,ENSG00000279591,TEC
AC002056.1,2,ENSG00000213683,processed_pseudogene
AC002056.2,2,ENSG00000254499,lncRNA
AC002044.3,1,ENSG00000280092,TEC
AC002057.1,2,ENSG00000287568,lncRNA
AC002057.2,1,ENSG00000287702,lncRNA
AC002059.3,1,ENSG00000285697,transcribed_unprocessed_pseudogene
AC002059.2,2,ENSG00000280968,miRNA
AC002059.1,1,ENSG00000273216,lncRNA
AC002064.4,1,unidentified,unidentified
AC002064.2,1,ENSG00000234459,lncRNA
AC002064.1,2,ENSG00000225498,lncRNA
AC002066.1,1,ENSG00000237813,lncRNA
AC002064.3,2,ENSG00000280440,TEC
AC002069.1,2,ENSG00000233420,lncRNA
AC002069.4,1,unidentified,unidentified
AC002069.2,1,ENSG00000235639,processed_pseudogene
AC002069.3,2,ENSG00000270812,processed_pseudogene
AC002070.1,1,ENSG00000248636,lncRNA
AC002072.1,1,ENSG00000286072,lncRNA
AC002074.1,1,ENSG00000285090,lncRNA
AC002073.1,2,unidentified,unidentified
AC002074.2,2,ENSG00000285964,lncRNA
AC002075.1,1,ENSG00000225898,processed_pseudogene
AC002076.1,2,ENSG00000234695,lncRNA
AC002076.2,2,ENSG00000278388,unprocessed_pseudogene
AC002090.1,2,ENSG00000279743,TEC
AC002075.2,1,ENSG00000237729,processed_pseudogene
AC002091.1,1,ENSG00000265975,lncRNA
AC002091.2,1,ENSG00000266389,lncRNA
AC002094.1,1,ENSG00000258924,lncRNA
AC002094.3,2,ENSG00000273171,protein_coding
AC002094.2,2,ENSG00000265618,lncRNA
AC002094.4,1,ENSG00000277450,lncRNA
AC002094.5,1,ENSG00000279532,TEC
AC002101.1,2,ENSG00000261018,lncRNA
AC002116.1,1,ENSG00000248101,lncRNA
AC002116.2,1,ENSG00000267698,lncRNA
AC002115.1,2,ENSG00000267626,lncRNA
AC002127.1,2,ENSG00000227979,processed_pseudogene
AC002128.2,1,ENSG00000271366,lncRNA
AC002128.1,1,ENSG00000268947,lncRNA
AC002306.1,1,ENSG00000259242,lncRNA
AC002310.1,1,ENSG00000235560,lncRNA
AC002310.2,1,ENSG00000239791,lncRNA
AC002310.4,1,ENSG00000261459,protein_coding
AC002310.5,1,ENSG00000278922,TEC
AC002310.3,1,ENSG00000260494,unprocessed_pseudogene
AC002350.2,1,unidentified,unidentified
AC002331.1,1,ENSG00000286712,lncRNA
AC002347.1,1,ENSG00000261433,lncRNA
AC002347.2,2,unidentified,unidentified
AC002359.1,2,unidentified,unidentified
AC002365.1,2,unidentified,unidentified
AC002351.1,1,ENSG00000258240,lncRNA
AC002366.1,1,ENSG00000232392,processed_pseudogene
AC002368.1,1,ENSG00000237741,lncRNA
AC002375.1,2,ENSG00000257268,lncRNA
AC002378.1,2,ENSG00000225676,lncRNA
AC002377.1,1,ENSG00000286163,lncRNA
AC002381.1,1,ENSG00000228341,processed_pseudogene
AC002386.1,2,ENSG00000230941,lncRNA
AC002398.2,2,ENSG00000267328,lncRNA
AC002398.1,1,ENSG00000267049,lncRNA
AC002401.1,2,ENSG00000236472,lncRNA
AC002401.2,1,ENSG00000250282,lncRNA
AC002401.4,1,ENSG00000276851,lncRNA
AC002401.3,1,ENSG00000275025,lncRNA
AC002383.1,1,ENSG00000227863,lncRNA
AC002407.2,1,unidentified,unidentified
AC002407.1,3,ENSG00000283638,lncRNA
AC002416.1,2,unidentified,unidentified
AC002428.1,2,ENSG00000253927,lncRNA
AC002429.1,1,ENSG00000231153,processed_pseudogene
AC002428.2,2,ENSG00000254239,lncRNA
AC002451.2,1,ENSG00000279525,TEC
AC002456.1,1,ENSG00000223969,lncRNA
AC002456.2,1,ENSG00000251154,protein_coding
AC002458.1,1,ENSG00000286411,lncRNA
AC002460.1,2,ENSG00000249317,lncRNA
AC002461.1,3,unidentified,unidentified
AC002460.2,1,ENSG00000287292,lncRNA
AC002451.1,1,ENSG00000231170,lncRNA
AC002465.1,2,unidentified,unidentified
AC002464.1,2,ENSG00000260188,lncRNA
AC002467.1,1,ENSG00000241764,lncRNA
AC002470.1,1,ENSG00000272829,lncRNA
AC002470.2,1,ENSG00000285314,lncRNA
AC002472.1,2,ENSG00000226872,lncRNA
AC002472.3,2,ENSG00000284130,protein_coding
AC002463.1,1,ENSG00000223646,lncRNA
AC002472.2,1,ENSG00000284060,transcribed_unprocessed_pseudogene
AC002480.1,1,ENSG00000232759,lncRNA
AC002480.2,1,ENSG00000232949,lncRNA
AC002472.4,2,ENSG00000284665,unprocessed_pseudogene
AC002486.1,2,ENSG00000223866,processed_pseudogene
AC002486.2,2,ENSG00000231525,processed_pseudogene
AC002487.1,2,ENSG00000270425,processed_pseudogene
AC002504.1,2,ENSG00000214111,processed_pseudogene
AC002511.2,2,ENSG00000233214,lncRNA
AC002511.1,2,ENSG00000232680,lncRNA
AC002511.3,2,ENSG00000283479,transcribed_unprocessed_pseudogene
AC002519.1,1,ENSG00000259810,lncRNA
AC002519.2,1,ENSG00000261457,transcribed_processed_pseudogene
AC002525.1,1,ENSG00000279314,TEC
AC002524.1,2,ENSG00000233247,processed_pseudogene
AC002529.1,1,ENSG00000287827,lncRNA
AC002542.5,2,unidentified,unidentified
AC002542.4,2,unidentified,unidentified
AC002542.1,1,ENSG00000227532,processed_pseudogene
AC002543.2,2,unidentified,unidentified
AC002542.6,1,unidentified,unidentified
AC002540.1,1,ENSG00000279067,TEC
AC002543.1,1,ENSG00000235945,processed_pseudogene
AC002545.1,2,ENSG00000267184,processed_pseudogene
AC002546.1,1,ENSG00000267653,lncRNA
AC002550.1,1,ENSG00000261312,lncRNA
AC002551.1,1,ENSG00000261736,lncRNA
AC002550.2,1,ENSG00000276571,lncRNA
AC002553.1,1,ENSG00000227782,lncRNA
AC002553.2,1,ENSG00000275413,lncRNA
AC002558.1,1,ENSG00000239291,processed_pseudogene
AC002558.3,1,ENSG00000262265,lncRNA
AC002980.1,3,unidentified,unidentified
AC002558.2,1,ENSG00000261872,lncRNA
AC002563.1,2,ENSG00000255692,lncRNA
AC002981.1,2,unidentified,unidentified
AC002985.1,2,ENSG00000268193,protein_coding
AC002996.1,1,ENSG00000257767,protein_coding
AC003001.1,2,ENSG00000235461,lncRNA
AC003001.2,2,ENSG00000276391,processed_pseudogene
AC003002.1,2,ENSG00000268133,protein_coding
AC003002.2,1,ENSG00000268533,protein_coding
AC003002.3,2,ENSG00000269533,protein_coding
AC002984.1,1,ENSG00000267005,processed_pseudogene
AC003005.1,1,ENSG00000268107,protein_coding
AC003006.1,1,ENSG00000269026,protein_coding
AC003035.2,1,ENSG00000233535,lncRNA
AC003009.1,2,ENSG00000262011,lncRNA
AC003035.1,1,ENSG00000212663,lncRNA
AC003043.3,1,unidentified,unidentified
AC003043.1,2,ENSG00000267211,lncRNA
AC003044.1,1,ENSG00000287523,lncRNA
AC003070.1,1,ENSG00000267344,lncRNA
AC003005.2,1,ENSG00000268266,lncRNA
AC003070.7,3,unidentified,unidentified
AC003071.1,2,ENSG00000225971,processed_pseudogene
AC003072.1,1,ENSG00000250318,unprocessed_pseudogene
AC003072.2,2,unidentified,unidentified
AC003070.2,2,ENSG00000267446,lncRNA
AC003043.2,2,ENSG00000285486,lncRNA
AC003080.1,1,ENSG00000234358,processed_pseudogene
AC003077.1,1,ENSG00000287011,lncRNA
AC003086.1,1,ENSG00000287672,lncRNA
AC003087.1,2,ENSG00000227930,lncRNA
AC003092.1,1,ENSG00000236453,lncRNA
AC003092.2,2,ENSG00000236938,lncRNA
AC003084.1,2,ENSG00000234826,lncRNA
AC003093.1,1,ENSG00000287093,lncRNA
AC003101.2,1,ENSG00000278546,lncRNA
AC003098.1,2,ENSG00000267604,lncRNA
AC003101.3,1,ENSG00000278977,TEC
AC003102.1,1,ENSG00000260793,lncRNA
AC003109.1,3,unidentified,unidentified
AC003657.1,2,unidentified,unidentified
AC003101.1,1,ENSG00000228768,lncRNA
AC003657.2,2,unidentified,unidentified
AC003669.1,2,ENSG00000237539,processed_pseudogene
AC003666.1,2,ENSG00000227042,lncRNA
AC003681.1,1,ENSG00000279159,lncRNA
AC003682.1,2,ENSG00000268392,lncRNA
AC003659.1,2,ENSG00000237994,lncRNA
AC003685.1,2,ENSG00000229012,lncRNA
AC003686.1,2,ENSG00000257807,processed_pseudogene
AC003687.1,2,ENSG00000264598,lncRNA
AC003688.3,2,unidentified,unidentified
AC003688.1,2,ENSG00000262302,protein_coding
AC003684.1,1,ENSG00000228543,lncRNA
AC003685.2,2,ENSG00000231619,processed_pseudogene
AC003950.1,2,ENSG00000285785,lncRNA
AC003956.1,2,ENSG00000268564,lncRNA
AC003958.1,2,ENSG00000108516,unprocessed_pseudogene
AC003957.1,1,ENSG00000279825,TEC
AC003688.2,1,ENSG00000263342,lncRNA
AC003965.1,1,ENSG00000263280,lncRNA
AC003965.2,2,ENSG00000263325,lncRNA
AC003958.2,1,ENSG00000234859,lncRNA
AC003973.2,1,ENSG00000279377,TEC
AC003982.1,2,ENSG00000256695,lncRNA
AC003975.1,1,ENSG00000197462,lncRNA
AC003984.1,2,ENSG00000235139,lncRNA
AC003985.1,2,ENSG00000233824,lncRNA
AC003973.1,1,ENSG00000269504,lncRNA
AC003986.2,1,ENSG00000232821,lncRNA
AC003986.3,2,ENSG00000236536,lncRNA
AC003988.1,2,ENSG00000234223,lncRNA
AC003989.1,1,ENSG00000227948,processed_pseudogene
AC003989.2,1,ENSG00000243621,processed_pseudogene
AC003992.1,1,ENSG00000282859,lncRNA
AC003986.1,2,ENSG00000229533,lncRNA
AC004000.1,1,ENSG00000237903,lncRNA
AC003991.1,1,ENSG00000228113,lncRNA
AC004006.1,2,ENSG00000228711,processed_pseudogene
AC004009.1,2,ENSG00000224322,lncRNA
AC003991.2,1,ENSG00000254003,lncRNA
AC004009.2,2,ENSG00000279429,TEC
AC004009.3,2,ENSG00000279655,TEC
AC004012.1,1,ENSG00000233942,lncRNA
AC004004.1,2,ENSG00000270317,processed_pseudogene
AC004014.1,2,ENSG00000229603,lncRNA
AC004022.2,2,ENSG00000237160,processed_pseudogene
AC004024.1,1,ENSG00000257624,processed_pseudogene
AC004022.1,2,ENSG00000228751,processed_pseudogene
AC004014.2,1,ENSG00000279043,TEC
AC004023.1,1,ENSG00000261462,lncRNA
AC004039.1,1,ENSG00000230612,lncRNA
AC004047.1,1,ENSG00000286291,lncRNA
AC004053.1,2,ENSG00000248242,lncRNA
AC004052.1,2,ENSG00000251170,lncRNA
AC004054.1,2,ENSG00000248984,lncRNA
AC004057.1,1,ENSG00000196656,transcribed_processed_pseudogene
AC004062.1,2,ENSG00000251312,processed_pseudogene
AC004034.1,1,ENSG00000262482,lncRNA
AC004063.1,1,ENSG00000250670,lncRNA
AC004067.1,1,ENSG00000273447,lncRNA
AC004069.1,1,ENSG00000251259,lncRNA
AC004069.2,1,ENSG00000251473,processed_pseudogene
AC004066.1,1,ENSG00000216425,processed_pseudogene
AC004069.3,2,unidentified,unidentified
AC004079.3,2,unidentified,unidentified
AC004074.1,2,ENSG00000237014,processed_pseudogene
AC004076.1,1,ENSG00000268163,protein_coding
AC004079.4,2,unidentified,unidentified
AC004076.2,1,ENSG00000276449,lncRNA
AC004079.5,1,unidentified,unidentified
AC004080.10,2,unidentified,unidentified
AC004079.1,2,unidentified,unidentified
AC004080.11,2,unidentified,unidentified
AC004080.12,2,unidentified,unidentified
AC004080.14,2,unidentified,unidentified
AC004080.15,2,unidentified,unidentified
AC004080.16,2,unidentified,unidentified
AC004080.17,2,unidentified,unidentified
AC004080.1,2,ENSG00000253308,lncRNA
AC004080.13,2,unidentified,unidentified
AC004080.2,1,ENSG00000253508,lncRNA
AC004080.3,2,ENSG00000257184,protein_coding
AC004080.4,2,ENSG00000270182,lncRNA
AC004080.8,2,unidentified,unidentified
AC004080.6,1,ENSG00000273433,lncRNA
AC004080.7,2,ENSG00000286323,lncRNA
AC004125.1,3,unidentified,unidentified
AC004080.5,2,ENSG00000272801,lncRNA
AC004083.1,1,ENSG00000254180,lncRNA
AC004112.1,1,ENSG00000226851,lncRNA
AC004129.4,2,unidentified,unidentified
AC004129.2,2,ENSG00000234406,processed_pseudogene
AC004129.3,2,ENSG00000285716,lncRNA
AC004130.2,1,unidentified,unidentified
AC004129.1,2,ENSG00000213798,processed_pseudogene
AC004147.1,1,ENSG00000263485,lncRNA
AC004147.3,2,ENSG00000264791,lncRNA
AC004134.1,1,ENSG00000267592,processed_pseudogene
AC004147.4,1,ENSG00000265356,lncRNA
AC004147.5,1,ENSG00000265775,lncRNA
AC004147.2,1,ENSG00000263571,lncRNA
AC004148.1,1,ENSG00000262099,lncRNA
AC004156.1,1,ENSG00000070423,protein_coding
AC004158.1,1,ENSG00000260664,lncRNA
AC004160.1,1,ENSG00000230333,lncRNA
AC004217.1,1,ENSG00000257494,lncRNA
AC004217.2,1,ENSG00000257658,processed_pseudogene
AC004221.1,2,ENSG00000267778,lncRNA
AC004160.2,1,ENSG00000230435,lncRNA
AC004223.1,1,ENSG00000243423,processed_pseudogene
AC004223.2,1,ENSG00000267457,lncRNA
AC004224.1,1,ENSG00000240311,processed_pseudogene
AC004224.2,1,ENSG00000263212,lncRNA
AC004231.1,1,ENSG00000234477,lncRNA
AC004231.3,2,ENSG00000265359,lncRNA
AC004232.1,1,ENSG00000262899,lncRNA
AC004223.4,1,ENSG00000273687,lncRNA
AC004223.3,1,ENSG00000267618,protein_coding
AC004233.1,1,ENSG00000262362,lncRNA
AC004233.2,1,ENSG00000272079,lncRNA
AC004232.2,1,ENSG00000279031,TEC
AC004241.1,1,ENSG00000257433,lncRNA
AC004241.2,1,ENSG00000274902,lncRNA
AC004233.3,1,ENSG00000274367,lncRNA
AC004253.1,1,ENSG00000263990,lncRNA
AC004241.5,1,ENSG00000280054,TEC
AC004241.3,1,ENSG00000276390,lncRNA
AC004241.4,1,ENSG00000277173,lncRNA
AC004257.1,1,ENSG00000269635,lncRNA
AC004253.2,2,ENSG00000265046,lncRNA
AC004263.1,1,ENSG00000275936,lncRNA
AC004263.2,1,ENSG00000286067,lncRNA
AC004264.2,1,ENSG00000279699,TEC
AC004264.1,1,ENSG00000268812,lncRNA
AC004381.1,1,ENSG00000260510,lncRNA
AC004381.2,2,ENSG00000283399,unprocessed_pseudogene
AC004381.3,1,ENSG00000285303,transcribed_unprocessed_pseudogene
AC004381.4,1,unidentified,unidentified
AC004386.3,2,unidentified,unidentified
AC004386.4,1,unidentified,unidentified
AC004386.1,2,ENSG00000213269,processed_pseudogene
AC004386.5,2,unidentified,unidentified
AC004383.1,1,ENSG00000226107,processed_pseudogene
AC004386.6,2,unidentified,unidentified
AC004386.2,2,ENSG00000226515,processed_pseudogene
AC004408.1,2,ENSG00000266101,lncRNA
AC004408.2,1,ENSG00000280177,TEC
AC004415.1,2,ENSG00000236414,lncRNA
AC004448.1,2,ENSG00000231477,lncRNA
AC004448.5,2,unidentified,unidentified
AC004448.3,2,ENSG00000265126,lncRNA
AC004449.1,1,ENSG00000261204,lncRNA
AC004453.1,1,ENSG00000146677,processed_pseudogene
AC004448.2,2,ENSG00000235979,lncRNA
AC004453.2,1,ENSG00000279853,TEC
AC004461.3,1,unidentified,unidentified
AC004461.1,2,ENSG00000237347,processed_pseudogene
AC004461.2,1,ENSG00000281530,lncRNA
AC004464.1,2,ENSG00000287027,lncRNA
AC004466.1,1,ENSG00000268069,lncRNA
AC004466.2,1,ENSG00000274737,lncRNA
AC004466.3,1,ENSG00000276691,lncRNA
AC004470.2,1,unidentified,unidentified
AC004470.1,2,ENSG00000237019,lncRNA
AC004467.1,2,ENSG00000275194,unprocessed_pseudogene
AC004471.1,1,ENSG00000223461,lncRNA
AC004471.2,1,ENSG00000272682,lncRNA
AC004477.1,1,ENSG00000263412,lncRNA
AC004477.2,2,ENSG00000266341,lncRNA
AC004477.3,1,ENSG00000278765,lncRNA
AC004485.1,2,ENSG00000228944,lncRNA
AC004486.1,2,ENSG00000257905,processed_pseudogene
AC004490.1,1,ENSG00000267122,lncRNA
AC004491.1,1,ENSG00000279996,TEC
AC004492.1,1,ENSG00000272072,lncRNA
AC004494.2,1,ENSG00000278942,TEC
AC004494.1,1,ENSG00000262312,lncRNA
AC004522.1,2,ENSG00000235713,unprocessed_pseudogene
AC004522.2,2,ENSG00000237640,lncRNA
AC004522.5,1,unidentified,unidentified
AC004522.6,1,unidentified,unidentified
AC004522.3,2,ENSG00000286921,lncRNA
AC004522.4,1,ENSG00000286923,lncRNA
AC004528.1,1,ENSG00000266990,lncRNA
AC004528.2,2,ENSG00000274177,lncRNA
AC004542.1,2,ENSG00000269972,lncRNA
AC004540.2,1,ENSG00000225792,lncRNA
AC004542.3,2,unidentified,unidentified
AC004542.4,2,unidentified,unidentified
AC004542.5,1,unidentified,unidentified
AC004542.6,1,unidentified,unidentified
AC004540.1,1,ENSG00000214870,lncRNA
AC004542.2,2,ENSG00000269987,lncRNA
AC004549.1,1,ENSG00000287489,lncRNA
AC004543.1,2,ENSG00000237921,lncRNA
AC004552.1,2,ENSG00000225071,processed_pseudogene
AC004554.1,1,ENSG00000223418,processed_pseudogene
AC004562.1,2,unidentified,unidentified
AC004554.2,1,ENSG00000282840,lncRNA
AC004584.1,1,ENSG00000262298,lncRNA
AC004584.2,1,ENSG00000262623,processed_pseudogene
AC004584.3,1,ENSG00000263120,lncRNA
AC004551.1,1,ENSG00000089127,protein_coding
