,absMeanSHAP,spearman,meanSHAP
LINC01600,2.061127226804558e-06,-0.35996799269602164,4.895490917365101e-07
LINC02006,4.7293617198805675e-06,-0.05292424444580255,1.984590047471076e-06
AF111169.3,2.842856818380103e-06,-0.2783643022370922,-1.9128228013645093e-06
CEP83,9.791584309450125e-06,-0.050503297048183016,9.791584309450125e-06
AC008550.1,6.230407086638686e-07,-0.028666124535303813,6.230407086638686e-07
LINC02750,9.069437100682006e-08,0.02119992494953924,-8.605958636893371e-08
MTND6P32,1.878681112923065e-06,-0.17792380795363072,-1.0338854524427629e-06
PEX5L,4.704655758484072e-06,-0.2763643977439706,3.747643202593165e-06
RPS2P45,1.2849572300131174e-06,-0.29363552389467484,-9.391551990310719e-07
ANKRD17,0.008964179789084351,-0.23558132916960792,-0.008964179789084351
GTF3C4,0.015016905259734259,0.03152461416516258,0.015016905259734259
SFSWAP,0.005932363397135644,-0.10840318243092496,0.005932363397135644
AP001453.2,7.375323746263513e-06,0.033670738316764294,8.219712545645348e-07
DUXAP2,1.3109770348385538e-07,-0.041147872124914,-9.795929831738631e-08
LINC02042,5.201096998020195e-06,0.02837068577887607,2.6095957983517564e-06
LINC00113,9.322383575311143e-08,-0.39688786677672694,2.9353423958244562e-08
AC009716.2,6.743766218772057e-07,-0.19534867500111783,1.543103099838511e-07
AC002074.1,1.938762232438299e-06,-0.25872172260901605,8.395765639226142e-07
ZNF726,1.0551451977623926e-05,-0.053710255739835296,5.424090730241731e-06
AC112482.1,0.0,,0.0
RPLP1P6,2.8492913028428215e-06,-0.31332447176131756,2.8406573079858184e-06
CCDC85A,1.2737855748908354e-05,-0.4545101022396363,-1.2733781964528844e-05
SLC35E1P1,2.040084080097374e-06,-0.5876911767897635,-2.02339349460674e-06
AC055872.2,2.356287332151691e-06,-0.3843780224591128,2.2004430350640684e-06
AC011891.2,9.698678828338377e-08,0.031150674425028318,-9.698678828338377e-08
CDY15P,0.0,,0.0
RNU6-761P,5.148766093445846e-08,-0.060071548150101545,-4.552815431488233e-08
NPSR1-AS1,1.6259458908463562e-06,0.05739216853821793,7.772754182660726e-07
AC092897.1,2.1702299495345017e-08,0.043929384862863505,-7.036417696224769e-09
AC008798.2,1.544363889460604e-06,-0.2232658525489857,7.92085221324339e-07
AC010768.3,1.852160944871469e-07,0.06414009833075938,1.652796460741808e-07
AC020909.1,4.822713032231034e-08,0.11317159088232696,2.582023498124185e-08
TRAP1,0.014257227742777292,0.04884420327767391,-0.014238769582758397
AC134312.6,2.5711798379007856e-07,-0.027895356461014813,9.76144962527405e-08
MLF2,0.01568152449224548,0.38474394748675567,-0.015677352541402696
C9orf147,2.355604412760202e-06,-0.4604775472749021,-2.3529951948065087e-06
TAAR4P,4.581593849777635e-08,-0.03718719416708296,-4.446319582345894e-08
UBL3,7.773945522811302e-06,-0.5426074793204299,-7.077893000095878e-06
ABCA17P,2.550923094292696e-06,-0.07813946602535149,-2.3527987083429566e-06
AL031963.1,2.5949508407305707e-06,0.09696520247840132,-7.167964364499741e-07
RNA5SP31,0.0,,0.0
AC103987.3,5.645723297594356e-07,-0.1602912129910557,2.1848294231999154e-07
SH3GL3,2.7435638539387394e-06,0.056915588761230956,1.1643871900956945e-06
RNA5SP258,1.808161372475862e-08,-0.035929482641640406,8.537215251864613e-09
RNA5S1,5.803857019078387e-06,-0.1933868298977971,5.65052936458619e-06
AC021646.1,3.9595148945858365e-08,-0.07946934378827376,-2.8072629002272416e-09
AC097462.2,1.6635149667150424e-08,0.02579393676738784,-4.7745948545881165e-09
AC069410.1,1.6474510198504347e-07,-0.14349243962807903,6.543000973229311e-08
KCTD9P2,5.353735794357414e-07,0.03180039919112716,-5.011373355379724e-07
GPA33,2.3484618992501945e-06,-0.13518225905348094,-8.243587109702034e-07
VENTXP6,8.910561211799088e-07,-0.20650666489191158,-8.678141318566058e-07
