,absMeanSHAP,spearman,meanSHAP
C12orf4,0.021231810496823142,0.19415561604026554,-0.02122993250711412
AC116535.2,1.1091652555662328e-06,-0.1817199513021795,4.5642922776037765e-09
LINC02070,5.542803017982601e-08,0.03521938065271576,-9.893438744651362e-09
RN7SL388P,4.654140285407045e-07,-0.044096421584495074,-3.9359912934678127e-07
OR51E2,2.6249928628025332e-06,-0.13536591161825498,-7.982870073240173e-07
RAB13,7.534345274373531e-06,0.06288809567973276,7.4567722663355135e-06
AL122003.2,1.2107885491775323e-07,0.011124875901070613,-7.87962423518582e-08
SPANXC,3.0032268590190483e-07,0.14093143657892737,2.2667940267540352e-07
AL122023.3,3.578965929567592e-06,-0.1807314798224191,4.7321664459862333e-07
RBM48P1,3.591528918309106e-08,0.011618084728238795,3.53008611452049e-08
AC011468.1,1.0115940700567794e-06,-0.167142814509752,-4.856041741293091e-07
AL031009.1,3.959011063185742e-06,0.12263570091725227,1.1215731671397799e-06
MIR711,0.0,,0.0
BLACAT1,6.641207031735593e-06,0.24210455175617362,2.8982224042827324e-06
KLHL41,1.9295539349155517e-06,-0.20025494420963988,-1.8779881467510868e-06
TBC1D12,1.1202677221563608e-05,-0.43682231591008297,-1.1202677221563608e-05
RBMY2YP,3.7564855455302546e-08,-0.24127597904691991,-1.2653451730262457e-08
AC009220.3,9.578200332392014e-07,-0.30866904012830315,7.242197976909147e-07
AC099811.1,5.775548742035673e-06,-0.16445858367319016,-5.756630991166712e-06
AL139281.1,3.0680360022715995e-07,-0.3393097918599094,-2.0130732171011745e-07
KRT8P3,1.7998465785511591e-06,0.1913982914466064,-1.7998187465044432e-06
HNRNPA3P16,3.590026617664e-07,-0.2802967172471481,3.590026617664e-07
AC114954.1,5.430789801502578e-07,-0.0738145948975337,4.64484408960507e-07
AP003555.2,9.906781481359569e-07,-0.20375653877035318,-6.2435466750258e-07
ACADVL,0.008103653888795031,-0.21200025950836332,0.008098759720300414
SOD2P1,1.3405268079389342e-06,0.22054764697364138,1.3405268079389342e-06
INSL6,3.7833647072118286e-06,-0.19055700846345056,-1.3748060203430792e-06
AC244453.3,5.8720386641720786e-08,-0.09755286334017402,5.400463900068894e-08
PSMG3-AS1,3.976877978748669e-06,-0.2453120495713742,3.684879436197473e-06
ZFP57,3.1486165772187095e-06,0.033405264252865684,3.1486165772187095e-06
AP000350.7,2.93731335780961e-06,-0.20540888833555007,2.650925520279608e-06
HIF1AP1,2.417659191783074e-07,-0.09913865024600434,-2.1675980941359897e-07
AL117353.1,4.035210249752599e-07,-0.17559033998785864,1.6893759583137762e-07
ZNF22-AS1,4.768264640677072e-06,-0.5033760393301538,-3.125227874948762e-06
LINC01723,3.4443195291904807e-07,-0.07290911627929691,-3.278514649514114e-07
RNY1P8,9.025558674598824e-09,0.03951075285077466,-8.716060668584778e-09
AC099518.6,1.6004544178845973e-06,0.2153497583061016,9.082469186734117e-07
CEACAMP3,9.895051242209372e-08,0.0006856229105710933,-5.226792748588384e-08
AD000813.1,2.27644253132599e-06,0.15475762844325244,2.263368061605392e-06
AADACL2-AS1,6.254193712328243e-08,0.1004068462864481,1.2667656036837475e-08
PRKAG3,1.7905259147757355e-06,0.023173816877420695,6.909501993007542e-07
TAF1C,8.304242484440498e-06,0.0106525039365769,-2.029855418422013e-06
NDST2,5.900650114291594e-06,-0.017801274536441248,-5.900650114291594e-06
AC120498.4,6.045265354270326e-08,-0.042515525356331504,-3.033808723811917e-08
AL158011.2,4.559619505888548e-06,0.03733282382210662,-6.972683065904162e-07
USP9YP5,2.0294442869696588e-07,-0.052061654069556366,1.2709478959123658e-07
DOCK3,1.0473073696544575e-05,-0.011754059593254484,1.0472975375207668e-05
