,absMeanSHAP,spearman,meanSHAP
Z68694.1,2.123029122332129e-08,-0.06793269851716513,-1.797219940959768e-08
LINC01613,4.1420174539027686e-07,-0.619421076615865,-4.047370932990656e-07
AC018693.1,1.1829482979167101e-07,-0.2751691511606338,-6.850284265229933e-08
KLHL7,2.2723952337736066e-06,-0.17352219605500938,-1.6688301360679529e-06
ADCY2,2.711299346230822e-06,-0.0380251445123205,2.7112890294296224e-06
RN7SKP261,1.416558062987202e-07,-0.25804965612453346,2.429329681863379e-08
DCAF11,0.02398731059893059,-0.44462857150399215,0.02398731059893059
LINC01789,1.7001268466397943e-07,-0.5011854481447003,1.2395475079431004e-07
AC013262.1,1.756721556641009e-07,0.14058588254592588,1.7564447017272798e-07
EEF2K,0.027583766212556347,-0.30237534978403774,0.027583766212556347
RN7SL37P,5.570260864689272e-07,-0.3631715723917832,-4.984159514751226e-07
SFPQ,0.002377412049887597,-0.2452480664752356,-0.002377412049887597
MTND1P10,5.245448596786516e-08,-0.23781516166683106,2.6214410238696807e-08
TRIM26BP,3.543685899801309e-07,-0.3529266922781314,-3.2084734513211297e-07
AL024493.1,0.0,,0.0
CHTOP,0.008160031890380889,0.043663341305388764,-0.008160031890380889
OTUD1,2.9210746765286162e-06,-0.5025635954093625,-2.85596832682578e-06
IGHVII-78-1,4.518644901078994e-07,-0.17960760522942396,-4.289579462884112e-07
AL136303.1,1.8956871667217237e-09,-0.004788002562212102,-8.899773477600616e-10
RNA5SP101,1.0955912056203423e-08,0.04681505648120436,7.041740619061572e-09
LINC00659,1.2683769027267798e-06,-0.17013798000099783,5.438804944523493e-08
RPL7AP8,2.565916457518865e-07,-0.284888573273301,2.5627028728820025e-07
LINC02299,1.1949213075841955e-07,-0.18107749688597252,-1.1931612185882015e-07
XRN1,0.01798742667180155,-0.22220877452212978,0.01798742667180155
EDIL3,0.029290111155610983,-0.08243783767419269,0.029290111155610983
AC018682.1,3.2372010043627194e-06,-0.25977947450076183,3.2370889624540595e-06
AL645939.3,2.7593649281345106e-07,-0.27990908305280104,-2.171938302823123e-07
AL139405.1,6.669224705576704e-08,-0.1373829418404603,5.067955367114294e-09
AC099066.2,1.001924203805255e-06,0.5026437853462099,9.998383030254812e-07
AC245884.11,1.327864361612021e-06,-0.5053089414136673,1.3147709716323905e-06
AF067845.4,3.0475704098998755e-08,-0.07746471506920538,1.8336160285344523e-08
PRX,3.0837854502387934e-06,-0.6070884672489755,2.6438070394854666e-06
CLCA1,3.24680524422691e-07,0.20071701925794574,-3.239834028689355e-07
RNU6-686P,7.147182581967579e-09,-0.01288478738286346,7.147182581967579e-09
LGR5,1.996666482307723e-06,0.4149798956811478,1.996537163497109e-06
AL035461.2,7.954649635317623e-08,-0.07276855866550776,-3.0149899297358996e-08
