A1BG	0
A1BG-AS1	1
A1CF	1
A2M	0
A2M-AS1	1
A2ML1	1
A2ML1-AS1	2
A2ML1-AS2	2
A2MP1	1
A3GALT2	2
A4GALT	1
A4GNT	1
AAAS	0
AACS	0
AACSP1	1
AADAC	1
AADACL2	1
AADACL2-AS1	2
AADACL3	2
AADACL4	2
AADACP1	1
AADAT	1
AAGAB	0
AAK1	0
AAMDC	0
AAMP	0
AANAT	1
AAR2	0
AARD	1
AARS1	0
AARS1P1	3
AARS2	0
AARSD1	1
AASDH	1
AASDHPPT	0
AASS	0
AATBC	1
AATF	0
AATK	1
ABALON	1
ABAT	0
ABBA01000933.1	2
ABBA01000935.2	1
ABBA01006766.1	2
ABBA01010928.1	2
ABBA01031658.1	3
ABBA01031669.1	2
ABBA01045074.1	1
ABBA01045074.2	1
ABCA1	0
ABCA10	1
ABCA11P	1
ABCA12	1
ABCA13	1
ABCA17P	1
ABCA2	1
ABCA3	1
ABCA4	1
ABCA5	1
ABCA6	1
ABCA7	1
ABCA8	0
ABCA9	1
ABCA9-AS1	1
ABCB1	0
ABCB10	0
ABCB10P1	2
ABCB10P3	1
ABCB10P4	2
ABCB11	1
ABCB4	1
ABCB5	1
ABCB6	0
ABCB7	0
ABCB8	0
ABCB9	1
ABCC1	0
ABCC10	0
ABCC11	1
ABCC12	1
ABCC13	1
ABCC2	1
ABCC3	0
ABCC4	1
ABCC5	1
ABCC5-AS1	1
ABCC6	1
ABCC6P1	1
ABCC6P2	1
ABCC8	1
ABCC9	1
ABCD1	0
ABCD1P2	2
ABCD1P3	2
ABCD1P4	2
ABCD1P5	2
ABCD2	1
ABCD3	0
ABCD4	0
ABCE1	0
ABCF1	0
ABCF2	1
ABCF2P1	2
ABCF2P2	2
ABCF3	0
ABCG1	1
ABCG2	1
ABCG4	1
ABCG5	1
ABCG8	1
ABHD1	1
ABHD10	0
ABHD11	0
ABHD11-AS1	1
ABHD12	0
ABHD12B	1
ABHD13	0
ABHD14A	1
ABHD14A-ACY1	1
ABHD14B	0
ABHD15	1
ABHD15-AS1	2
ABHD16A	0
ABHD16B	2
ABHD17A	0
ABHD17AP1	1
ABHD17AP3	1
ABHD17AP4	1
ABHD17AP5	1
ABHD17AP6	1
ABHD17AP7	2
ABHD17AP8	2
ABHD17AP9	2
ABHD17B	0
ABHD17C	0
ABHD18	1
ABHD2	1
ABHD3	0
ABHD4	0
ABHD5	0
ABHD6	0
ABHD8	1
ABI1	0
ABI1P1	1
ABI2	0
ABI3	0
ABI3BP	1
ABITRAM	0
ABITRAMP1	2
ABL1	0
ABL2	1
ABLIM1	0
ABLIM2	0
ABLIM3	0
ABO	1
ABR	1
ABRA	1
ABRACL	0
ABRAXAS1	0
ABRAXAS2	0
ABT1	0
ABT1P1	1
ABTB1	1
ABTB2	1
AC000029.2	2
AC000032.1	1
AC000035.1	2
AC000036.1	1
AC000041.1	1
AC000050.1	3
AC000050.3	2
AC000058.1	2
AC000061.1	1
AC000065.1	1
AC000065.2	1
AC000067.1	2
AC000068.1	1
AC000068.2	1
AC000068.3	1
AC000072.1	1
AC000077.1	2
AC000078.1	1
AC000081.1	1
AC000081.2	2
AC000082.1	1
AC000085.1	1
AC000089.1	1
AC000093.1	1
AC000095.1	1
AC000095.2	2
AC000095.3	1
AC000111.1	2
AC000111.2	2
AC000113.1	2
AC000114.1	2
AC000120.1	2
AC000120.2	1
AC000120.3	1
AC000120.4	1
AC000123.1	1
AC000123.2	1
AC000123.3	1
AC000124.1	1
AC000362.1	2
AC000367.1	1
AC000372.1	2
AC000374.1	1
AC000403.1	1
AC001226.1	1
AC001226.2	1
AC002044.1	2
AC002044.2	1
AC002044.3	1
AC002056.1	2
AC002056.2	2
AC002057.1	2
AC002057.2	1
AC002059.1	1
AC002059.2	2
AC002059.3	1
AC002064.1	2
AC002064.2	1
AC002064.3	2
AC002064.4	1
AC002066.1	1
AC002069.1	2
AC002069.2	1
AC002069.3	2
AC002069.4	1
AC002070.1	1
AC002072.1	1
AC002073.1	2
AC002074.1	1
AC002074.2	2
AC002075.1	1
AC002075.2	1
AC002076.1	2
AC002076.2	2
AC002090.1	2
AC002091.1	1
AC002091.2	1
AC002094.1	1
AC002094.2	2
AC002094.3	2
AC002094.4	1
AC002094.5	1
AC002101.1	2
AC002115.1	2
AC002116.1	1
AC002116.2	1
AC002127.1	2
AC002128.1	1
AC002128.2	1
AC002306.1	1
AC002310.1	1
AC002310.2	1
AC002310.3	1
AC002310.4	1
AC002310.5	1
AC002331.1	1
AC002347.1	1
AC002347.2	2
AC002350.2	1
AC002351.1	1
AC002359.1	2
AC002365.1	2
AC002366.1	1
AC002368.1	1
AC002375.1	2
AC002377.1	1
AC002378.1	2
AC002381.1	1
AC002383.1	1
AC002386.1	2
AC002398.1	1
AC002398.2	2
AC002401.1	2
AC002401.2	1
AC002401.3	1
AC002401.4	1
AC002407.1	3
AC002407.2	1
AC002416.1	2
AC002428.1	2
AC002428.2	2
AC002429.1	1
AC002451.1	1
AC002451.2	1
AC002456.1	1
AC002456.2	1
AC002458.1	1
AC002460.1	2
AC002460.2	1
AC002461.1	3
AC002463.1	1
AC002464.1	2
AC002465.1	2
AC002467.1	1
AC002470.1	1
AC002470.2	1
AC002472.1	2
AC002472.2	1
AC002472.3	2
AC002472.4	2
AC002480.1	1
AC002480.2	1
AC002486.1	2
AC002486.2	2
AC002487.1	2
AC002504.1	2
AC002511.1	2
AC002511.2	2
AC002511.3	2
AC002519.1	1
AC002519.2	1
AC002524.1	2
AC002525.1	1
AC002529.1	1
AC002540.1	1
AC002542.1	1
AC002542.4	2
AC002542.5	2
AC002542.6	1
AC002543.1	1
AC002543.2	2
AC002545.1	2
AC002546.1	1
AC002550.1	1
AC002550.2	1
AC002551.1	1
AC002553.1	1
AC002553.2	1
AC002558.1	1
AC002558.2	1
AC002558.3	1
AC002563.1	2
AC002980.1	3
AC002981.1	2
AC002984.1	1
AC002985.1	2
AC002996.1	1
AC003001.1	2
AC003001.2	2
AC003002.1	2
