trial_index,arm_name,trial_status,generation_method,val_loss,block1_exists,block2_exists,fc2,hidden_size2,dropout2,fc3,dropout3,addMRNA,learning_rate,batch_size,block2_type,activation2,block3_type,activation3,root,hidden_size1,dropout1,resNetComplexConnections2,block1_type,resNetType1,activation1,resNetType2,fc1,resNetComplexConnections1
60,60_0,COMPLETED,BoTorch,0.8066036105155945,False,True,1.0,495.0,0.7945492046318411,3.0,0.23790922972423054,False,0.00020381977699137054,64,fully_connect,tanh,fully_connect,selu,true,,,,,,,,,
24,24_0,COMPLETED,Sobol,0.8069112300872803,False,False,,,,3.0,0.3992424448952079,False,0.00533522444187346,128,,,fully_connect,leaky_relu_slight,true,,,,,,,,,
168,168_0,COMPLETED,BoTorch,0.8106926679611206,False,True,1.0,515.0,0.4540803880727486,3.0,0.1556996866787383,False,0.0001698347661451664,64,fully_connect,tanh,fully_connect,selu,true,,,,,,,,,
96,96_0,COMPLETED,BoTorch,0.8120179772377014,True,True,1.0,348.0,0.8669048156829753,,0.9,True,0.0014883480050229398,32,fully_connect,sigmoid,resnet,leaky_relu_slight,true,342.0,0.0,,resnet,complex,selu,,,1.0
19,19_0,COMPLETED,Sobol,0.8139749765396118,True,False,,,,2.0,0.29437187360599637,False,0.003077809223015758,64,,,fully_connect,leaky_relu_slight,true,244.0,0.28517749076709153,,fully_connect,,leaky_relu_slight,,1.0,
153,153_0,COMPLETED,BoTorch,0.8206217288970947,True,True,1.0,704.0,0.0,,0.53018761380319,True,0.0009229399983902466,128,fully_connect,tanh,resnet,sigmoid,true,875.0,0.21830487813816776,,resnet,simple,selu,,,
23,23_0,COMPLETED,Sobol,0.8207960724830627,True,False,,,,,0.07693578097969293,True,0.00038312492462263,64,,,resnet,sigmoid,true,637.0,0.7149994184263051,,resnet,complex,tanh,,,12.0
17,17_0,COMPLETED,Sobol,0.826191782951355,True,False,,,,2.0,0.2308372520841658,True,0.00011911743789766517,64,,,fully_connect,tanh,true,539.0,0.2605987465940416,,fully_connect,,tanh,,1.0,
174,174_0,COMPLETED,BoTorch,0.8301400542259216,False,True,,478.0,0.5279534194546008,,0.20998209725634842,True,0.0001,32,resnet,selu,resnet,sigmoid,true,,,31.0,,,,complex,,
8,8_0,COMPLETED,Sobol,0.837482750415802,False,False,,,,,0.4094521293416619,False,0.0006434736293559972,32,,,resnet,leaky_relu_slight,true,,,,,,,,,
16,16_0,COMPLETED,Sobol,0.8395383954048157,True,True,,277.0,0.4384860939346254,,0.6234125459566713,False,0.00013714892903978333,64,resnet,leaky_relu_steep,resnet,tanh,true,386.0,0.04896454615518451,,fully_connect,,tanh,simple,1.0,
68,68_0,COMPLETED,BoTorch,0.8432454466819763,True,False,,,,1.0,0.16405782582445647,True,0.00011348595928847797,64,,,fully_connect,tanh,true,815.0,0.05117673535909638,,fully_connect,,tanh,,1.0,
90,90_0,COMPLETED,BoTorch,0.843574047088623,True,True,1.0,364.0,0.7269338360434675,,0.8732133946277133,True,0.000408761822643022,32,fully_connect,sigmoid,resnet,leaky_relu_slight,true,445.0,0.23035363130940975,,resnet,complex,selu,,,9.0
125,125_0,COMPLETED,BoTorch,0.8520103693008423,True,True,1.0,468.0,0.10231536385693214,,0.5252889254156842,True,0.0015694410856695986,64,fully_connect,tanh,resnet,sigmoid,true,691.0,0.5788400528251425,,resnet,simple,selu,,,
44,44_0,COMPLETED,BoTorch,0.8533095121383667,False,True,,349.0,0.3862558622236858,,0.21487094285902705,True,0.00043365806852901814,64,resnet,selu,resnet,sigmoid,true,,,30.0,,,,complex,,
6,6_0,COMPLETED,Sobol,0.8533599972724915,False,False,,,,2.0,0.2711733581498265,False,0.006067083560023711,128,,,fully_connect,leaky_relu_steep,true,,,,,,,,,
1,1_0,COMPLETED,Sobol,0.862410306930542,False,True,2.0,305.0,0.41225816337391735,,0.8956709423102439,False,0.0005721403609816504,128,fully_connect,selu,resnet,selu,true,,,,,,,,,
33,33_0,COMPLETED,Sobol,0.8714208602905273,True,False,,,,2.0,0.3510510471649468,True,0.0005957837464961678,128,,,fully_connect,leaky_relu_slight,true,342.0,0.0084249802865088,,resnet,simple,sigmoid,,,
35,35_0,COMPLETED,Sobol,0.8734959363937378,False,True,,227.0,0.3409539895132184,3.0,0.40042101088911297,True,0.0012023788451070512,128,resnet,sigmoid,fully_connect,leaky_relu_slight,true,,,11.0,,,,complex,,
7,7_0,COMPLETED,Sobol,0.8835318684577942,False,False,,,,1.0,0.61425023060292,False,0.0006413914984266485,32,,,fully_connect,sigmoid,true,,,,,,,,,
126,126_0,COMPLETED,BoTorch,0.8892480134963989,True,True,1.0,626.0,0.6285248152843343,,0.5171453021994493,True,0.0007128285101316908,128,fully_connect,tanh,resnet,sigmoid,true,449.0,0.0,,resnet,simple,selu,,,
10,10_0,COMPLETED,Sobol,0.9195917844772339,False,False,,,,3.0,0.2778602795675397,True,0.00925835899525925,64,,,fully_connect,sigmoid,true,,,,,,,,,
39,39_0,COMPLETED,Sobol,0.9223803877830505,True,True,,205.0,0.700041385833174,2.0,0.5386776027269662,False,0.002929265705747269,32,resnet,sigmoid,fully_connect,leaky_relu_steep,true,275.0,0.7156291860155761,,fully_connect,,tanh,simple,3.0,
32,32_0,COMPLETED,Sobol,0.9310790300369263,True,False,,,,1.0,0.7558554832823575,False,0.0016527667917980672,32,,,fully_connect,leaky_relu_slight,true,546.0,0.8772441755980254,,fully_connect,,tanh,,3.0,
0,0_0,COMPLETED,Sobol,0.9416492581367493,False,True,3.0,356.0,0.4647408306598663,3.0,0.8875816941261292,False,0.0015538662752917142,32,fully_connect,leaky_relu_slight,fully_connect,leaky_relu_steep,true,,,,,,,,,
95,95_0,COMPLETED,BoTorch,0.9785972833633423,True,False,,,,,0.524272033885745,True,0.0024117859668142537,64,,,resnet,leaky_relu_steep,true,403.0,0.7342813945652426,,fully_connect,,leaky_relu_slight,,2.0,
9,9_0,COMPLETED,Sobol,0.9917783737182617,True,True,,764.0,0.2976144036278129,1.0,0.6339043677784503,False,0.0005564240486179695,64,resnet,sigmoid,fully_connect,sigmoid,true,373.0,0.8402128309942782,,fully_connect,,sigmoid,simple,1.0,
26,26_0,COMPLETED,Sobol,1.0255378484725952,True,False,,,,1.0,0.6372934855520725,False,0.004206976496925079,64,,,fully_connect,leaky_relu_slight,true,207.0,0.7722689713351428,,resnet,complex,leaky_relu_slight,,,18.0
27,27_0,COMPLETED,Sobol,1.051241397857666,False,False,,,,,0.37354170670732856,True,0.0016379744876718007,128,,,resnet,leaky_relu_steep,true,,,,,,,,,
12,12_0,COMPLETED,Sobol,1.0586209297180176,True,False,,,,,0.6014769108965993,False,0.0013324567564022417,64,,,resnet,selu,true,543.0,0.031732250936329365,,fully_connect,,selu,,2.0,
5,5_0,COMPLETED,Sobol,1.1190717220306396,True,True,3.0,339.0,0.2370384338311851,2.0,0.09624437671154738,True,0.00038422187796553303,32,fully_connect,leaky_relu_steep,fully_connect,leaky_relu_steep,true,209.0,0.056321351788938046,,fully_connect,,leaky_relu_steep,,2.0,
43,43_0,COMPLETED,BoTorch,1.1510215997695923,False,False,,,,1.0,0.582404417243204,True,0.0005032167138239095,64,,,fully_connect,sigmoid,true,,,,,,,,,
196,196_0,COMPLETED,BoTorch,1.1726666688919067,True,False,,,,,0.5980957337222205,True,0.004909254532280715,64,,,resnet,leaky_relu_steep,true,214.0,0.5894897155249438,,fully_connect,,leaky_relu_slight,,2.0,
14,14_0,COMPLETED,Sobol,1.2907474040985107,False,False,,,,,0.8389333938248456,False,0.0015324857339676077,32,,,resnet,sigmoid,true,,,,,,,,,
36,36_0,COMPLETED,Sobol,1.3218886852264404,True,True,,369.0,0.25026211235672235,,0.8701727695763112,False,0.009910307968575938,64,resnet,sigmoid,resnet,selu,true,317.0,0.24969037100672722,5.0,resnet,simple,sigmoid,complex,,
37,37_0,COMPLETED,Sobol,1.3423104286193848,False,False,,,,3.0,0.8906199554912746,True,0.001062797554577654,32,,,fully_connect,selu,true,,,,,,,,,
28,28_0,COMPLETED,Sobol,1.3576509952545166,True,True,1.0,953.0,0.018363220151513815,2.0,0.21792761916294695,True,0.001956537021621936,128,fully_connect,leaky_relu_slight,fully_connect,leaky_relu_slight,true,993.0,0.335459447465837,,resnet,complex,selu,,,10.0
4,4_0,COMPLETED,Sobol,1.4208086729049683,True,True,,402.0,0.17620778661221267,,0.5414173451252282,False,0.0026157749954591374,64,resnet,sigmoid,resnet,selu,true,361.0,0.06119697159156203,,resnet,simple,leaky_relu_steep,simple,,
41,41_0,COMPLETED,BoTorch,2.160320281982422,True,False,,,,,0.530415843060938,True,0.0024613369983404448,64,,,resnet,leaky_relu_steep,true,394.0,0.7280625748423847,,fully_connect,,leaky_relu_slight,,2.0,
137,137_0,COMPLETED,BoTorch,2.7098124027252197,True,False,,,,,0.643481274562747,True,0.004372751714670604,64,,,resnet,leaky_relu_steep,true,431.0,0.6306021218756388,,fully_connect,,leaky_relu_slight,,2.0,
2,2_0,COMPLETED,Sobol,2.759178638458252,True,True,,733.0,0.32712706876918674,2.0,0.5280116954818368,True,0.0006922430733009898,32,resnet,selu,fully_connect,leaky_relu_slight,true,654.0,0.20382099011912944,23.0,resnet,simple,tanh,complex,,
29,29_0,COMPLETED,Sobol,3.0553457736968994,False,False,,,,,0.07253712080419064,False,0.007556048098634258,64,,,resnet,selu,true,,,,,,,,,
3,3_0,COMPLETED,Sobol,3.9601075649261475,True,False,,,,1.0,0.41325293099507693,True,0.0021222133490240683,32,,,fully_connect,leaky_relu_slight,true,355.0,0.6839087770320476,,fully_connect,,tanh,,1.0,
11,11_0,COMPLETED,Sobol,8.488320350646973,False,True,3.0,608.0,0.13431861195713282,2.0,0.3016992612741888,True,0.0070985501533478304,128,fully_connect,sigmoid,fully_connect,leaky_relu_slight,true,,,,,,,,,
15,15_0,COMPLETED,Sobol,11.236665725708008,False,True,,925.0,0.42062815334647896,,0.7386427639983595,False,0.005431747781895249,64,resnet,sigmoid,resnet,leaky_relu_slight,true,,,12.0,,,,complex,,
13,13_0,COMPLETED,Sobol,20.58544158935547,True,False,,,,1.0,0.5097194532863796,True,0.004472963400290742,32,,,fully_connect,leaky_relu_slight,true,362.0,0.897748822811991,,resnet,complex,sigmoid,,,14.0
34,34_0,COMPLETED,Sobol,36.11159133911133,True,True,,326.0,0.06907546939328313,2.0,0.7353564142249525,True,0.008730104343365405,64,resnet,selu,fully_connect,leaky_relu_steep,true,772.0,0.38935747286304834,,resnet,simple,sigmoid,simple,,
