trial_index,arm_name,trial_status,generation_method,val_loss,block1_exists,block2_exists,fc2,hidden_size2,dropout2,fc3,dropout3,addMRNA,learning_rate,batch_size,block2_type,activation2,block3_type,activation3,root,fc1,hidden_size1,dropout1,block1_type,activation1,resNetComplexConnections1,resNetType1,resNetType2,resNetComplexConnections2
19,19_0,COMPLETED,Sobol,0.8984548449516296,True,False,,,,,0.06335293874144554,True,0.0024767982297098983,128,,,resnet,leaky_relu_slight,true,,439.0,0.09515616428107024,resnet,tanh,2.0,complex,,
75,75_0,COMPLETED,BoTorch,0.9015175104141235,True,False,,,,,0.5538789987679593,True,0.01,64,,,resnet,leaky_relu_slight,true,,204.0,0.0,resnet,tanh,1.0,complex,,
9,9_0,COMPLETED,Sobol,0.9168697595596313,False,True,,536.0,0.42452330254018306,1.0,0.35620629144832494,False,0.0008291565436304532,128,resnet,leaky_relu_steep,fully_connect,leaky_relu_slight,true,,,,,,,,simple,
17,17_0,COMPLETED,Sobol,0.9188444018363953,False,True,1.0,208.0,0.24434889256954193,2.0,0.2570386463776231,False,0.002812270076445791,32,fully_connect,leaky_relu_slight,fully_connect,sigmoid,true,,,,,,,,,
12,12_0,COMPLETED,Sobol,0.9233807921409607,True,True,2.0,447.0,0.7958522689528763,,0.5981850198470057,True,0.0007481333633325344,128,fully_connect,tanh,resnet,leaky_relu_slight,true,2.0,348.0,0.30076074292883276,fully_connect,leaky_relu_steep,,,,
15,15_0,COMPLETED,Sobol,0.9255472421646118,False,False,,,,,0.6044895471073687,False,0.006631308122885494,32,,,resnet,leaky_relu_steep,true,,,,,,,,,
55,55_0,COMPLETED,BoTorch,0.9277759194374084,False,True,1.0,257.0,0.10026731702715135,3.0,0.4166731202266457,False,0.004595567480232579,32,fully_connect,leaky_relu_slight,fully_connect,sigmoid,true,,,,,,,,,
10,10_0,COMPLETED,Sobol,0.9377774000167847,True,False,,,,1.0,0.5553510672412812,False,0.007472718766248262,32,,,fully_connect,leaky_relu_steep,true,,229.0,0.1670817238278687,resnet,sigmoid,11.0,complex,,
5,5_0,COMPLETED,Sobol,0.9408946633338928,False,True,1.0,327.0,0.5811598272062838,2.0,0.5091245166957379,False,0.0012337854285495245,32,fully_connect,leaky_relu_steep,fully_connect,leaky_relu_slight,true,,,,,,,,,
0,0_0,COMPLETED,Sobol,0.947011411190033,False,True,3.0,218.0,0.605537062883377,3.0,0.24345917701721193,False,0.007927215935576964,128,fully_connect,sigmoid,fully_connect,sigmoid,true,,,,,,,,,
6,6_0,COMPLETED,Sobol,0.9656473994255066,False,True,3.0,266.0,0.28929342180490497,,0.47226277068257333,True,0.0009838840289651907,128,fully_connect,leaky_relu_steep,resnet,sigmoid,true,,,,,,,,,
4,4_0,COMPLETED,Sobol,0.970249593257904,True,True,1.0,225.0,0.8648193335160613,1.0,0.6832700164988638,False,0.002465101239612638,32,fully_connect,tanh,fully_connect,tanh,true,1.0,264.0,0.15712691210210325,fully_connect,tanh,,,,
66,66_0,COMPLETED,BoTorch,0.9873149394989014,True,False,,,,,0.7848722250234245,True,0.004064284966185392,64,,,resnet,leaky_relu_slight,true,1.0,256.0,0.44456543673861937,fully_connect,sigmoid,,,,
62,62_0,COMPLETED,BoTorch,1.0091625452041626,True,False,,,,2.0,0.21605393429247124,True,0.0010747910958390572,128,,,fully_connect,leaky_relu_steep,true,,383.0,0.4161052407842825,resnet,tanh,,simple,,
61,61_0,COMPLETED,BoTorch,1.0109224319458008,False,False,,,,,0.8187082955276402,True,0.0002552062552955755,32,,,resnet,leaky_relu_steep,true,,,,,,,,,
63,63_0,COMPLETED,BoTorch,1.012209415435791,True,True,,448.0,0.6537121816709919,,0.8858952391210092,True,0.0030857001433558127,64,resnet,selu,resnet,leaky_relu_steep,true,1.0,466.0,0.13736854996700187,fully_connect,leaky_relu_slight,,,simple,
56,56_0,COMPLETED,BoTorch,1.0545339584350586,True,False,,,,2.0,0.6649756307777388,False,0.0002136756326601206,32,,,fully_connect,tanh,true,3.0,758.0,0.609991224057808,fully_connect,sigmoid,,,,
3,3_0,COMPLETED,Sobol,1.076223611831665,True,False,,,,1.0,0.5472625843249261,False,0.0001238113206674456,64,,,fully_connect,sigmoid,true,,470.0,0.368235350959003,resnet,leaky_relu_steep,22.0,complex,,
7,7_0,COMPLETED,Sobol,1.0849021673202515,True,False,,,,2.0,0.14623329201713206,True,0.0028647242279751218,128,,,fully_connect,sigmoid,true,,392.0,0.007787929661571979,resnet,selu,,simple,,
16,16_0,COMPLETED,Sobol,1.100732445716858,True,False,,,,,0.733138969168067,True,0.00018148833544106205,64,,,resnet,sigmoid,true,,345.0,0.6412458848208189,resnet,sigmoid,,simple,,
18,18_0,COMPLETED,Sobol,1.1173123121261597,False,True,3.0,414.0,0.534637503605336,2.0,0.0241792693734169,True,0.009103540111863347,32,fully_connect,leaky_relu_slight,fully_connect,sigmoid,true,,,,,,,,,
13,13_0,COMPLETED,Sobol,1.2048665285110474,False,False,,,,1.0,0.812614394724369,True,0.0016534547794656426,32,,,fully_connect,leaky_relu_slight,true,,,,,,,,,
8,8_0,COMPLETED,Sobol,1.2452137470245361,False,True,,253.0,0.0732390238903463,2.0,0.8106260421685875,True,0.003885922136527037,32,resnet,leaky_relu_slight,fully_connect,leaky_relu_slight,true,,,,,,,,simple,
11,11_0,COMPLETED,Sobol,1.4731630086898804,False,True,2.0,296.0,0.8121469284407795,,0.7587776963599027,True,0.004646909772746853,32,fully_connect,sigmoid,resnet,selu,true,,,,,,,,,
57,57_0,COMPLETED,BoTorch,2.5087878704071045,False,True,,429.0,0.5581810745109597,2.0,0.6347600818916159,False,0.00023698895642799902,32,resnet,tanh,fully_connect,selu,true,,,,,,,,complex,8.0
